date,index_code,open,close,low,high,volume,money,change
20021104,sh000300,1227.85,1246.8,1227.85,1227.85,304531061.0,2874012746.0,0.015437566019899996
20021105,sh000300,1246.8,1265.73,1246.8,1246.8,636930337.0,5699349580.0,0.01517961123
20021106,sh000300,1265.73,1260.05,1265.73,1265.73,349822630.0,3209995459.0,-0.00448436870423
20021107,sh000300,1260.05,1259.87,1260.05,1260.05,380666480.0,3328559587.0,-0.00014602548779700002
20021108,sh000300,1259.87,1232.95,1259.87,1259.87,503151055.0,4285292232.0,-0.0213712525896
20021111,sh000300,1232.95,1218.36,1232.95,1232.95,243092992.0,2153794886.0,-0.011832644603
20021112,sh000300,1218.36,1200.92,1218.36,1218.36,436925130.0,3567156937.0,-0.0143110880564
20021113,sh000300,1200.92,1206.42,1200.92,1200.92,369890786.0,3173731211.0,0.0045789894414300005
20021114,sh000300,1206.42,1183.64,1206.42,1206.42,348611600.0,3051422835.0,-0.0188856442082
20021115,sh000300,1183.64,1186.92,1183.64,1183.64,377232489.0,3390646680.0,0.00277788338466
20021118,sh000300,1186.92,1174.83,1186.92,1186.92,258932122.0,2307598619.0,-0.0101927420734
20021119,sh000300,1174.83,1182.64,1174.83,1174.83,257802614.0,2270601812.0,0.006648649798909999
20021120,sh000300,1182.64,1154.9,1182.64,1182.64,318132949.0,2732374653.0,-0.023454384950200004
20021121,sh000300,1154.9,1125.38,1154.9,1154.9,426481078.0,3370169284.0,-0.0255589671122
20021122,sh000300,1125.38,1128.07,1125.38,1125.38,398136595.0,3143496802.0,0.00239208089712
20021125,sh000300,1128.07,1133.17,1128.07,1128.07,281429557.0,2081525163.0,0.00451921508556
20021126,sh000300,1133.17,1111.05,1133.17,1133.17,299393460.0,2229726578.0,-0.0195178128613
20021127,sh000300,1111.05,1118.96,1111.05,1111.05,409645187.0,2794279479.0,0.00712027239025
20021128,sh000300,1118.96,1150.59,1118.96,1118.96,463096215.0,3364640278.0,0.0282591754516
20021129,sh000300,1150.59,1164.62,1150.59,1150.59,859707671.0,6710964377.0,0.0121964044377
20021202,sh000300,1164.62,1132.93,1164.62,1164.62,367862525.0,2789847843.0,-0.0272097803743
20021203,sh000300,1132.93,1144.63,1132.93,1132.93,291610384.0,2122217120.0,0.0103272137972
20021204,sh000300,1144.63,1147.54,1144.63,1144.63,423110183.0,3372316569.0,0.00253881388642
20021205,sh000300,1147.54,1139.75,1147.54,1147.54,266734923.0,2158574079.0,-0.00678323536973
20021206,sh000300,1139.75,1139.8,1139.75,1139.75,238079457.0,1972138190.0,4.562400033e-05
20021209,sh000300,1139.8,1136.25,1139.8,1139.8,186914384.0,1559258407.0,-0.0031207147200000003
20021210,sh000300,1136.25,1122.91,1136.25,1136.25,273429817.0,2122359440.0,-0.0117395352767
20021211,sh000300,1122.91,1117.44,1122.91,1122.91,238711997.0,1883650889.0,-0.0048712849773
20021212,sh000300,1117.44,1122.23,1117.44,1117.44,245593135.0,2096534898.0,0.00428838493803
20021213,sh000300,1122.23,1132.08,1122.23,1122.23,293868900.0,2312312046.0,0.008777174712110002
20021216,sh000300,1132.08,1141.52,1132.08,1132.08,392527635.0,2986907042.0,0.00834217400022
20021217,sh000300,1141.52,1148.6,1141.52,1141.52,329262914.0,2628523319.0,0.00619873624973
20021218,sh000300,1148.6,1143.94,1148.6,1148.6,396348062.0,3082448021.0,-0.0040553752876300005
20021219,sh000300,1143.94,1145.07,1143.94,1143.94,282891433.0,2229113651.0,0.000986064840757
20021220,sh000300,1145.07,1157.34,1145.07,1145.07,430372636.0,3321953271.0,0.0107137648474
20021223,sh000300,1157.34,1159.43,1157.34,1157.34,481762169.0,3663817689.0,0.00180846201236
20021224,sh000300,1159.43,1159.06,1159.43,1159.43,325085308.0,2747816500.0,-0.000319122327351
20021225,sh000300,1159.06,1151.16,1159.06,1159.06,330711129.0,2769666130.0,-0.00681586803099
20021226,sh000300,1151.16,1119.36,1151.16,1151.16,494830264.0,3866122840.0,-0.0276251780812
20021227,sh000300,1119.36,1120.28,1119.36,1119.36,427398929.0,3483457115.0,0.000819218856506
20021230,sh000300,1120.28,1108.94,1120.28,1120.28,385492050.0,3116156137.0,-0.0101189349767
20021231,sh000300,1108.94,1103.64,1108.94,1108.94,399160441.0,3414381973.0,-0.00477843706603
20030102,sh000300,1103.64,1074.98,1103.64,1103.64,321884021.0,2404428938.0,-0.0259658711483
20030103,sh000300,1074.98,1073.52,1074.98,1074.98,226714543.0,1635975443.0,-0.00135815974935
20030106,sh000300,1073.52,1084.88,1073.52,1073.52,239362315.0,1759580723.0,0.010581971153
20030107,sh000300,1084.88,1081.62,1084.88,1084.88,229939217.0,1715736924.0,-0.0030067730743600003
20030108,sh000300,1081.62,1111.83,1081.62,1081.62,408035617.0,2873958013.0,0.0279302750869
20030109,sh000300,1111.83,1132.17,1111.83,1111.83,862506803.0,6424746132.0,0.018292331935
20030110,sh000300,1132.17,1121.58,1132.17,1132.17,780578137.0,5913374370.0,-0.00935725200279
20030113,sh000300,1121.58,1124.33,1121.58,1121.58,398773959.0,3165033394.0,0.00245547336962
20030114,sh000300,1124.33,1185.87,1124.33,1124.33,2314815612.0,16396542554.0,0.0547303727553
20030115,sh000300,1185.87,1177.97,1185.87,1185.87,1633064524.0,12350444509.0,-0.00665674423311
20030116,sh000300,1177.97,1196.39,1177.97,1177.97,1111852503.0,8457470759.0,0.0156328126923
20030117,sh000300,1196.39,1190.9,1196.39,1196.39,1021223621.0,7671246827.0,-0.00458965584686
20030120,sh000300,1190.9,1194.72,1190.9,1190.9,811455224.0,6521105466.0,0.00321354947329
20030121,sh000300,1194.72,1172.13,1194.72,1194.72,745632595.0,5942774669.0,-0.0189090014246
20030122,sh000300,1172.13,1174.57,1172.13,1172.13,581162598.0,4411805373.0,0.00207826599587
20030123,sh000300,1174.57,1167.64,1174.57,1174.57,453442812.0,3614286631.0,-0.005901749325500001
20030124,sh000300,1167.64,1187.69,1167.64,1167.64,814091312.0,5547818338.0,0.0171791698604
20030127,sh000300,1187.69,1203.32,1187.69,1187.69,946610375.0,6909571182.0,0.0131557455035
20030128,sh000300,1203.32,1206.86,1203.32,1203.32,647782073.0,4962421625.0,0.00294186329643
20030129,sh000300,1206.86,1207.6,1206.86,1206.86,720735267.0,5793960731.0,0.000611504740819
20030210,sh000300,1207.6,1190.46,1207.6,1207.6,416726351.0,3305037882.0,-0.014191820615700004
20030211,sh000300,1190.46,1201.29,1190.46,1190.46,369751521.0,2948215796.0,0.00910153142611
20030212,sh000300,1201.29,1214.8,1201.29,1201.29,603236099.0,4717708073.0,0.011246206174299998
20030213,sh000300,1214.8,1208.84,1214.8,1214.8,710848551.0,5855414864.0,-0.004908610771779999
20030214,sh000300,1208.84,1213.7,1208.84,1208.84,526675001.0,4231105655.0,0.004018725374139999
20030217,sh000300,1213.7,1204.7,1213.7,1213.7,589678043.0,4709385340.0,-0.007416995482399998
20030218,sh000300,1204.7,1204.94,1204.7,1204.7,446112687.0,3531943839.0,0.00019839013461500006
20030219,sh000300,1204.94,1216.58,1204.94,1204.94,544327045.0,4195537550.0,0.00966192395281
20030220,sh000300,1216.58,1215.15,1216.58,1216.58,542418599.0,4356389989.0,-0.00117296219396
20030221,sh000300,1215.15,1191.63,1215.15,1215.15,657790637.0,5164299296.0,-0.019358088007200003
20030224,sh000300,1191.63,1192.99,1191.63,1191.63,426644998.0,3513825702.0,0.0011463309019300002
20030225,sh000300,1192.99,1214.85,1192.99,1192.99,662802712.0,5427444215.0,0.018322807994
20030226,sh000300,1214.85,1214.4,1214.85,1214.85,428048584.0,3589202664.0,-0.00037617720004
20030227,sh000300,1214.4,1215.46,1214.4,1214.4,536680449.0,4394809938.0,0.000873685354695
20030228,sh000300,1215.46,1213.86,1215.46,1215.46,423166333.0,3536902700.0,-0.00131226361772
20030303,sh000300,1213.86,1223.41,1213.86,1213.86,540120363.0,4473774930.0,0.007864155892520002
20030304,sh000300,1223.41,1222.38,1223.41,1223.41,473390681.0,4036039783.0,-0.0008402756888949999
