支付给职工以及为职工支付的现金,1726350610.69,1537435217.23,1492547515.90,729391142.25,768667697.58,647870582.43,555300073.28,497531653.11,398187814.60,335443279.18,279513893.46,208041128.74,111098045.96,60129849.10,42775107.38,40703226.89,34462409.54,28377763.74,7495493.92,,,0.0
支付的各项税费,922868867.39,1007883604.91,584949455.51,414678902.34,424610263.05,349463894.30,320748310.63,306012062.83,185548582.91,142133045.96,105223709.21,114853194.98,64084650.64,36488090.83,34696902.15,25234168.48,45669072.70,27422618.64,3252696.15,,,0.0
支付的其他与经营活动有关的现金,919487859.77,1169489948.34,1038900203.15,658453132.66,689394959.68,600434579.40,440718947.85,249729607.56,348714888.57,364427886.85,516769201.51,212308026.86,93291916.92,84727736.12,74006686.01,51085495.74,40413855.61,18425727.30,17293661.92,,,0.0
经营活动现金流出小计,6731417728.73,7089645272.73,5765438168.73,3968513071.92,4254801920.13,4046709992.82,3143363838.61,3351808381.41,2313668957.08,1837356758.93,1320668257.50,917234350.91,427845723.85,239193953.30,170161103.90,133993290.33,159044074.19,114097882.66,36067035.13,,,0.0
经营活动产生的现金流量净额,2489257933.08,2958193370.12,1006725265.73,341934649.47,106898611.53,65564099.03,531269870.94,653938799.22,827037086.99,349058284.10,715976680.46,909137197.85,561147442.89,544245027.05,512895418.46,517699391.70,490084887.86,414082568.38,145315582.03,,,0.0
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
收回投资所收到的现金,1292356197.31,697818620.73,321434042.79,1442057971.92,444247880.00,468862040.08,420416641.60,507127351.14,507930815.48,553416819.51,1112819188.90,630535340.57,152032761.45,400000000.00,0,0,432099753.66,0,2000000.00,,,0.0
取得投资收益所收到的现金,161943016.76,195812634.18,173047785.22,88126396.10,648744950.12,35569300.41,43463259.24,78262446.99,27029927.61,74735940.99,187135421.49,47592831.63,49302368.34,71392166.88,13350000.00,22550000.00,33985518.74,0,45500.00,,,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,268049396.89,5308850.02,11597262.14,632252.31,39540687.31,9886046.72,471434.24,14238780.99,781129.36,1480140.38,488699.83,532082.50,425854.95,50343.88,720.00,125000.00,315000.00,0,83983.10,,,0.0
处置子公司及其他营业单位收到的现金净额,0,0,1135540500.00,0,600934833.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
收到的其他与投资活动有关的现金,103241066.63,622921374.02,105784897.01,71440970.96,1137727053.17,70767178.48,59904176.07,25319414.26,13774102.60,23983734.64,17807761.54,14035793.59,13472187.84,6884890.50,1021316932.91,28884339.12,33573094.93,50445131.80,0,,,0.0
投资活动现金流入小计,1825589677.59,1521861478.95,1747404487.16,1602257591.29,2871195404.29,585084565.69,524255511.15,624947993.38,549515975.05,653616635.52,1318251071.76,692696048.29,215233172.58,478327401.26,1034667652.91,51559339.12,499973367.33,50445131.80,2129483.10,,,0.0
购建固定资产、无形资产和其他长期资产所支付的现金,7449826819.79,4462251282.77,2467037222.15,1705134467.31,1413396279.54,892804359.58,505721599.28,922190001.34,516661719.99,582612792.95,389141167.44,609899692.92,349018347.69,288298292.46,30237370.29,53133980.88,31059052.97,6855743.62,6556858.48,,,0.0
投资所支付的现金,653729620.92,792713994.31,1031809819.77,533501016.51,580190223.35,1513791355.35,749090411.69,689704448.46,461802535.25,484856001.93,1110313164.73,656225295.88,107127902.68,1911760086.51,1007874550.00,1277931610.00,419185753.66,1785914000.00,0,,,0.0
取得子公司及其他营业单位支付的现金净额,534827600.55,102902114.06,3360939835.26,43583092.74,0,41908059.55,68898602.47,29857973.88,0,0,30771734.78,0,0,0,0,0,0,0,0,,,0.0
支付的其他与投资活动有关的现金,207377894.48,51871900.82,500000000.00,123115372.71,128383809.85,0,0,0,0,0,0,0,0,17798724.00,0,0,0,0,0,,,0.0
投资活动现金流出小计,8845761935.74,5409739291.96,7359786877.18,2405333949.27,2121970312.74,2448503774.48,1323710613.44,1641752423.68,978464255.24,1067468794.88,1530226066.95,1266124988.80,456146250.37,2217857102.97,1038111920.29,1331065590.88,450244806.63,1792769743.62,6556858.48,,,0.0
投资活动产生的现金流量净额,-7020172258.15,-3887877813.01,-5612382390.02,-803076357.98,749225091.55,-1863419208.79,-799455102.29,-1016804430.30,-428948280.19,-413852159.36,-211974995.19,-573428940.51,-240913077.79,-1739529701.71,-3444267.38,-1279506251.76,49728560.70,-1742324611.82,-4427375.38,,,0.0
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,3220013928.49,1552534469.00,3952716828.76,24800000.00,19431662.75,84897755.00,76400000.00,58400000.00,55600000.00,64857600.00,7322500.00,0,4000000.00,10931991.66,18250344.00,0,0,2694000000.00,0,,,0.0
其中：子公司吸收少数股东投资收到的现金,820013928.49,552534469.00,898016833.02,24800000.00,7431662.75,60897755.00,9500000.00,33400000.00,55600000.00,64857600.00,7322500.00,0,0,0,0,0,0,0,0,,,0.0
取得借款收到的现金,12479433139.95,8438625707.08,8731398300.98,7562733375.42,6517653992.57,4743303379.00,3265404595.52,1822040646.09,4899120799.16,5871858862.32,3803600000.00,2098000000.00,3544500000.00,4879996920.75,1620000000.00,5450000000.00,150000000.00,400000000.00,25000000.00,,,0.0
发行债券收到的现金,1500000000.00,3000000000.00,1624664480.00,2197909360.50,1110735601.70,0,2000000000.00,800000000.00,0,0,0,0,0,0,0,0,0,0,0,,,0.0
收到其他与筹资活动有关的现金,97985409.30,67609096.40,19452325.67,38536275.41,8522163.23,37388483.66,14657388.92,28528781.70,8780000.00,5681667.00,0,4700000.00,10980282.42,0,0,0,0,11166766.06,184204.88,,,0.0
筹资活动现金流入小计,17297432477.74,13058769272.48,14328231935.41,9823979011.33,7656343420.25,4865589617.66,5356461984.44,2708969427.79,4963500799.16,5942398129.32,3810922500.00,2102700000.00,3559480282.42,4890928912.41,1638250344.00,5450000000.00,150000000.00,3105166766.06,25184204.88,,,0.0
偿还债务支付的现金,9951550524.89,11646152698.15,8050947892.54,7866917345.28,6810870351.35,3042255061.20,3383466306.11,2083809864.48,4597095798.79,5124869586.29,2706353809.05,2115964388.94,3272012501.53,2840000000.00,2533000000.00,4750000000.00,100000000.00,105000000.00,25000000.00,,,0.0
分配股利、利润或偿付利息所支付的现金,1497957857.19,1578717909.88,1139919301.47,1298392573.24,965160511.07,786989196.96,591781599.91,549638843.45,541923980.07,679900594.52,621097525.03,592322857.41,269708476.25,471904554.22,407151133.43,401902951.76,386917039.31,132009454.00,1527845.00,,,0.0
其中：子公司支付给少数股东的股利、利润,92681571.82,282944785.38,471622745.31,316068951.46,23402314.82,18787082.39,750693.69,70375672.34,68914405.98,92080493.58,138860717.41,34297395.52,4720000.00,0,0,0,0,0,0,,,0.0
支付其他与筹资活动有关的现金,59598084.87,73287905.61,123724700.24,51073114.02,45874455.66,49564565.88,13153277.46,6722106.97,4494265.23,6859539.69,1501988.38,5157335.08,877500.81,3590335.75,533044.05,610519.93,1539345.07,456866.97,552248.90,,,0.0
筹资活动现金流出小计,11509106466.95,13298158513.64,9314591894.25,9216383032.54,7821905318.08,3878808824.04,3988401183.48,2640170814.90,5143514044.09,5811629720.50,3328953322.46,2713444581.43,3542598478.59,3315494889.97,2940684177.48,5152513471.69,488456384.38,237466320.97,27080093.90,,,0.0
筹资活动产生的现金流量净额,5788326010.79,-239389241.16,5013640041.16,607595978.79,-165561897.83,986780793.62,1368060800.96,68798612.89,-180013244.93,130768408.82,481969177.54,-610744581.43,16881803.83,1575434022.44,-1302433833.48,297486528.31,-338456384.38,2867700445.09,-1895889.02,,,0.0
四、汇率变动对现金及现金等价物的影响,-98862057.28,43420853.74,-20155850.61,888669.24,-3836887.82,359138.80,-4409457.29,-3275362.91,124549.78,-1258017.88,-2462057.99,-2939308.03,-1357433.57,-365755.94,-303.85,-3707.91,-9637.29,0,0,,,0.0
五、现金及现金等价物净增加额,1158549628.44,-1125652830.31,387827066.26,147342939.52,686724917.43,-810715177.34,1095466112.32,-297342381.10,218200111.65,64716515.68,983508804.82,-277975632.12,335758735.36,379783591.84,-792982986.25,-464324039.66,201347426.89,1539458401.65,138992317.63,,,0.0
加:期初现金及现金等价物余额,2688556529.83,3814209360.14,3426382293.88,3007780299.98,2321055382.55,3131770559.89,2036304447.57,2333646828.67,2115446717.02,2050730201.34,1067221396.52,1369000843.44,1033242108.08,653458516.24,1446441502.49,1910765542.15,1709418115.26,169959713.61,30967495.98,,,0.0
六、期末现金及现金等价物余额,3847106158.27,2688556529.83,3814209360.14,3155123239.50,3007780299.98,2321055382.55,3131770559.89,2036304447.57,2333646828.67,2115446717.02,2050730201.34,1091025211.32,1369000843.44,1033242108.08,653458516.24,1446441502.49,1910765542.15,1709418115.26,169959713.61,,,0.0
附注,,,,,,,,,,,,,,,,,,,,,,
净利润,702146742.60,646177941.21,701387524.60,688139405.01,848367152.33,746754876.79,675336464.07,599526234.99,515947894.40,354265151.12,619307683.16,426925229.02,481541808.65,490459152.41,403516147.32,460517094.31,482015769.39,433215450.99,126259311.55,,,0.0
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,78814371.95,3868285.27,5783386.58,-330571.50,-157449.75,0,0,0,,,0.0
未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0
资产减值准备,16173034.46,59920534.24,-23552091.11,11025794.72,19501075.20,19563939.13,7642505.56,11489221.48,8991760.95,2962343.01,5065038.94,2603279.23,10832600.18,1752308.61,60528319.12,224180.80,642124.27,-20234.03,-312148.30,,,0.0
